yr,1996,,
,,,
Row Labels,Average of index_sa,,
1,114.7692881,,3.019720624
2,115.6243051,,
3,116.3261356,,
4,117.0598983,,
5,116.546,,
6,116.677,,
7,117.093,,
8,117.1,,
9,117.426,,
10,117.569,,
11,117.834,,
12,118.235,,
Grand Total,116.0315794,,
,,,
,,,
yr,2008,,
,,,
Row Labels,Average of index_sa,,
1,218.5357627,,-10.48766518
2,211.7935254,,
3,205.857322,,
4,199.2505085,,
5,209.993,,
6,208.605,,
7,206.746,,
8,204.774,,
9,203.248,,
10,201.431,,
11,198.127,,
12,197.792,,
Grand Total,208.5405635,,
,,,
,,,
yr,2020,,
,,,
Row Labels,Average of index_sa,,
1,290.896,,8.418441235
2,293.1954915,,
3,304.034678,,
4,316.8018644,,
5,288.398,,
6,291.638,,
7,295.491,,
8,300.442,,
9,305.345,,
10,310.098,,
11,313.593,,
12,317.636,,
Grand Total,301.3334762,,
