DATE,CARIVE5POP,LAUCN060650000000003A,MHICA06065A052NCEN
1970-01-01,456.916,,
1971-01-01,477.600,,
1972-01-01,493.200,,
1973-01-01,497.900,,
1974-01-01,515.900,,
1975-01-01,528.600,,
1976-01-01,548.000,,
1977-01-01,578.000,,
1978-01-01,611.900,,
1979-01-01,640.000,,
1980-01-01,663.199,,
1981-01-01,693.249,,
1982-01-01,719.842,,
1983-01-01,746.898,,
1984-01-01,783.202,,
1985-01-01,825.685,,
1986-01-01,871.209,,
1987-01-01,930.059,,
1988-01-01,995.977,,
1989-01-01,1084.568,,30192
1990-01-01,1193.156,7.1,#N/A
1991-01-01,1246.326,10.2,#N/A
1992-01-01,1286.364,11.9,#N/A
1993-01-01,1315.090,12.1,34226
1994-01-01,1346.651,10.7,#N/A
1995-01-01,1373.034,9.4,36189
1996-01-01,1393.732,8.4,#N/A
1997-01-01,1423.934,7.6,36368
1998-01-01,1461.916,6.7,39428
1999-01-01,1507.912,5.5,40229
2000-01-01,1558.970,5.3,43558
2001-01-01,1614.452,5.5,42640
2002-01-01,1682.672,6.5,42929
2003-01-01,1764.303,6.6,44598
2004-01-01,1845.608,6.0,46885
2005-01-01,1917.246,5.3,52029
2006-01-01,1994.262,5.0,53269
2007-01-01,2054.818,6.0,57736
2008-01-01,2087.348,8.6,57590
2009-01-01,2121.839,13.6,55151
2010-01-01,2201.562,14.2,53981
2011-01-01,2233.840,13.4,52491
2012-01-01,2260.763,11.8,52416
2013-01-01,2286.087,10.0,53909
2014-01-01,2315.238,8.3,56877
2015-01-01,2344.648,6.7,57895
2016-01-01,2378.282,6.1,59951
2017-01-01,2413.058,5.3,63776
2018-01-01,2443.221,4.5,66793
2019-01-01,2465.569,4.3,72905
2020-01-01,2422.764,10.2,76409
2021-01-01,2458.395,7.3,78690
