DATE,CASANF0POP,LAUCN060750000000003A,MHICA06075A052NCEN
1970-01-01,715.674,,
1971-01-01,708.100,,
1972-01-01,700.200,,
1973-01-01,700.000,,
1974-01-01,698.400,,
1975-01-01,686.100,,
1976-01-01,686.100,,
1977-01-01,679.400,,
1978-01-01,677.700,,
1979-01-01,675.800,,
1980-01-01,678.974,,
1981-01-01,686.915,,
1982-01-01,695.546,,
1983-01-01,704.809,,
1984-01-01,713.196,,
1985-01-01,727.977,,
1986-01-01,737.396,,
1987-01-01,736.499,,
1988-01-01,730.471,,
1989-01-01,725.889,,30166
1990-01-01,723.496,3.8,#N/A
1991-01-01,729.708,5.4,#N/A
1992-01-01,734.861,6.9,#N/A
1993-01-01,740.277,7.1,34623
1994-01-01,742.316,6.5,#N/A
1995-01-01,746.386,6.0,37854
1996-01-01,753.934,4.9,#N/A
1997-01-01,762.953,4.1,43405
1998-01-01,770.262,3.7,47239
1999-01-01,774.716,3.1,51291
2000-01-01,777.340,3.4,55761
2001-01-01,784.677,5.1,54779
2002-01-01,779.447,7.0,53087
2003-01-01,775.663,6.8,51402
2004-01-01,773.556,5.8,51815
2005-01-01,777.835,5.0,57476
2006-01-01,786.187,4.2,64648
2007-01-01,799.185,4.2,67333
2008-01-01,807.904,5.3,73127
2009-01-01,815.184,9.1,70247
2010-01-01,805.519,9.1,70883
2011-01-01,815.694,8.2,69354
2012-01-01,828.963,6.9,72093
2013-01-01,839.695,5.5,76933
2014-01-01,850.918,4.4,83788
2015-01-01,863.237,3.7,90527
2016-01-01,871.343,3.3,101873
2017-01-01,877.471,2.9,109601
2018-01-01,879.676,2.4,110601
2019-01-01,878.826,2.2,121795
2020-01-01,870.014,8.0,121722
2021-01-01,815.201,5.0,119776
