"year","geographical_area","avg_house_price","cpi_u"
1990,"CA",193096.2,135
1991,"CA",200736.8,140.6
1992,"CA",196947.5,145.6
1993,"CA",188352.5,149.4
1994,"CA",184345.2,151.5
1995,"CA",177499.8,154
1996,"CA",177115.5,157.1
1997,"CA",184738.4,160.5
1998,"CA",198916.8,163.7
1999,"CA",216419.9,168.5
2000,"CA",241778.2,174.8
2001,"CA",263504.7,181.7
2002,"CA",318308.8,186.1
2003,"CA",371522.2,190.4
2004,"CA",451067.5,195.4
2005,"CA",525960,202.6
2006,"CA",560640.8,210.5
2007,"CA",554450.1,217.4
2008,"CA",360790,224.8
2009,"CA",276700,224.1
2010,"CA",305630.8,226.9
2011,"CA",287522.5,232.9
2014,"CA",448750.8,246.1
2018,"CA",571057.5,272.5
2019,"CA",591865.8,280.6
2020,"CA",650156.7,285.3
2021,"CA",786275,297.4
