DATE,CASAND5POP,LAUCN060730000000003A,MHICA06073A052NCEN
1970-01-01,1357.854,,
1971-01-01,1391.900,,
1972-01-01,1433.100,,
1973-01-01,1499.600,,
1974-01-01,1540.700,,
1975-01-01,1616.900,,
1976-01-01,1642.800,,
1977-01-01,1715.500,,
1978-01-01,1775.400,,
1979-01-01,1827.600,,
1980-01-01,1861.846,,
1981-01-01,1927.018,,
1982-01-01,1972.354,,
1983-01-01,2018.133,,
1984-01-01,2066.419,,
1985-01-01,2126.090,,
1986-01-01,2196.834,,
1987-01-01,2275.309,,
1988-01-01,2364.284,,
1989-01-01,2444.380,,31627
1990-01-01,2512.365,4.6,#N/A
1991-01-01,2553.122,6.4,#N/A
1992-01-01,2593.126,7.3,#N/A
1993-01-01,2599.776,7.8,35648
1994-01-01,2614.685,7.2,#N/A
1995-01-01,2623.697,6.3,37239
1996-01-01,2651.549,5.4,#N/A
1997-01-01,2692.600,4.3,39427
1998-01-01,2736.720,3.5,41909
1999-01-01,2789.593,3.1,44009
2000-01-01,2826.314,3.9,48363
2001-01-01,2867.449,4.2,47944
2002-01-01,2896.140,5.2,47867
2003-01-01,2907.988,5.3,48766
2004-01-01,2922.175,4.7,51939
2005-01-01,2927.956,4.3,56224
2006-01-01,2933.959,4.0,59279
2007-01-01,2960.625,4.5,61724
2008-01-01,3003.793,6.1,62820
2009-01-01,3037.115,9.8,60103
2010-01-01,3103.260,11.0,59759
2011-01-01,3137.236,10.5,59290
2012-01-01,3175.148,9.3,60235
2013-01-01,3210.788,7.9,61365
2014-01-01,3249.307,6.5,66034
2015-01-01,3280.825,5.2,67053
2016-01-01,3305.462,4.7,70693
2017-01-01,3319.019,4.0,76048
2018-01-01,3332.483,3.4,78777
2019-01-01,3330.459,3.3,83576
2020-01-01,3297.252,9.5,87126
2021-01-01,3286.069,6.5,90756
